# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "00ref/UCSC_hg19_chr19_gene_annotation.gtf" "-o" "08feature_count/out_counts.txt" "04align_out/adrenalAligned.sortedByCoord.out.bam" "04align_out/brainAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	04align_out/adrenalAligned.sortedByCoord.out.bam	04align_out/brainAligned.sortedByCoord.out.bam
DPRX	chr19;chr19;chr19	54135310;54137785;54139850	54135388;54137939;54140263	+;+;+	648	0	0
MIR512-2	chr19;chr19	54169927;54172411	54170024;54172508	+;+	196	0	0
MIR512-1	chr19;chr19	54169933;54172417	54170016;54172500	+;+	168	0	0
MIR1323	chr19	54175222	54175294	+	73	0	0
MIR498	chr19	54177451	54177574	+	124	0	0
MIR520E	chr19	54178965	54179051	+	87	0	0
MIR515-1	chr19;chr19	54182257;54188263	54182339;54188345	+;+	166	0	0
MIR515-2	chr19;chr19	54182257;54188263	54182339;54188345	+;+	166	0	0
MIR519E	chr19	54183194	54183277	+	84	0	0
MIR520F	chr19	54185413	54185499	+	87	0	0
MIR519C	chr19	54189723	54189809	+	87	0	0
MIR1283-1	chr19	54191735	54191821	+	87	0	0
MIR520A	chr19	54194135	54194219	+	85	0	0
MIR526B	chr19	54197647	54197729	+	83	0	0
MIR519B	chr19	54198467	54198547	+	81	0	0
MIR525	chr19	54200787	54200871	+	85	0	0
MIR523	chr19	54201639	54201725	+	87	0	0
MIR518F	chr19	54203269	54203355	+	87	0	0
MIR520B	chr19	54204481	54204541	+	61	0	0
MIR518B	chr19	54205991	54206073	+	83	0	0
MIR526A1	chr19	54209506	54209590	+	85	0	0
MIR520C	chr19	54210707	54210793	+	87	0	0
MIR518C	chr19	54211989	54212089	+	101	0	0
MIR524	chr19	54214256	54214342	+	87	0	0
MIR517A	chr19	54215522	54215608	+	87	0	0
MIR519D	chr19	54216601	54216688	+	88	0	0
MIR521-2	chr19	54219848	54219934	+	87	0	0
MIR520D	chr19	54223350	54223436	+	87	0	0
MIR517B	chr19	54224330	54224396	+	67	0	0
MIR520G	chr19	54225420	54225509	+	90	0	0
MIR516B2	chr19	54228696	54228780	+	85	0	0
MIR526A2	chr19	54230176	54230240	+	65	0	0
MIR518E	chr19	54233092	54233179	+	88	0	0
MIR518A1	chr19	54234260	54234344	+	85	0	0
MIR518D	chr19	54238131	54238217	+	87	0	0
MIR516B1	chr19	54240099	54240188	+	90	0	0
MIR518A2	chr19	54242587	54242673	+	87	0	0
MIR517C	chr19	54244567	54244661	+	95	0	0
MIR520H	chr19	54245766	54245853	+	88	0	0
MIR521-1	chr19	54251890	54251976	+	87	0	0
MIR522	chr19	54254465	54254551	+	87	0	0
MIR519A1	chr19	54255651	54255735	+	85	0	0
MIR527	chr19	54257272	54257356	+	85	0	0
MIR516A1	chr19	54259995	54260084	+	90	0	0
MIR1283-2	chr19	54261486	54261572	+	87	0	0
MIR516A2	chr19	54264387	54264476	+	90	0	0
MIR519A2	chr19	54265598	54265684	+	87	0	0
MIR371A	chr19	54290929	54290995	+	67	0	0
MIR371B	chr19	54290931	54290996	-	66	0	0
MIR372	chr19	54291144	54291210	+	67	0	0
MIR373	chr19	54291959	54292027	+	69	0	0
NLRP12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54296855;54296855;54299113;54299113;54301497;54304481;54304481;54307206;54307206;54308534;54308534;54308848;54310749;54310749;54312841;54318162;54327140	54297390;54297390;54299283;54299283;54301667;54304651;54304651;54307376;54307376;54308704;54308704;54309037;54310919;54311959;54314542;54318242;54327648	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5084	0	0
MYADM	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54369611;54371137;54371137;54372660;54372781;54372944;54373008;54373008;54373008;54376782;54376782;54376782;54376782;54376782	54369671;54371197;54371197;54372852;54373092;54373092;54373092;54373092;54373092;54379689;54379689;54379689;54379689;54379689	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3463	0	0
PRKCG	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54385467;54386417;54387415;54392892;54393140;54394928;54395763;54396242;54396616;54401213;54401694;54403487;54403673;54403865;54406327;54407889;54409571;54409961	54385918;54386448;54387497;54393003;54393271;54395084;54395897;54396329;54396645;54401365;54401882;54403578;54403735;54404003;54406407;54407996;54409711;54410901	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3128	0	0
CACNG7	chr19;chr19;chr19;chr19;chr19	54415991;54417754;54418619;54444724;54445290	54416281;54417840;54418759;54444869;54446969	+;+;+;+;+	2345	0	0
CACNG8	chr19;chr19;chr19;chr19	54466290;54481400;54483121;54485334	54466679;54481483;54483261;54493469	+;+;+;+	8751	0	0
MIR935	chr19	54485561	54485651	+	91	0	0
CACNG6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54495542;54495542;54495542;54501493;54501493;54502888;54515205;54515205;54515205	54496462;54496462;54496462;54501567;54501567;54503025;54515920;54515920;54515920	+;+;+;+;+;+;+;+;+	1850	0	0
VSTM1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54544080;54545033;54545170;54545423;54545531;54554664;54561560;54561951;54566998	54544334;54545070;54545207;54545450;54545623;54554702;54561844;54561986;54567207	-;-;-;-;-;-;-;-;-	1022	0	0
TARM1	chr19;chr19;chr19;chr19;chr19	54573201;54577172;54578076;54579135;54584576	54573414;54577468;54578366;54579170;54584634	-;-;-;-;-	897	0	0
OSCAR	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54597933;54597933;54597933;54597933;54599137;54599137;54599137;54600149;54600149;54600149;54600149;54602881;54602881;54603039;54603039;54603039;54604047;54604047;54604047;54604047	54598622;54599418;54598622;54598622;54599418;54599418;54599418;54600451;54600451;54600451;54600451;54602892;54602892;54603071;54603071;54603071;54604148;54604148;54604148;54604148	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1936	0	0
NDUFA3	chr19;chr19;chr19;chr19	54606160;54606422;54609241;54610118	54606196;54606496;54609318;54610281	+;+;+;+	354	0	0
TFPT	chr19;chr19;chr19;chr19;chr19;chr19	54610320;54611333;54611633;54613434;54617822;54618627	54610476;54611551;54611702;54613504;54618080;54619055	-;-;-;-;-;-	1205	0	0
PRPF31	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54618790;54621651;54621953;54625239;54625876;54626833;54627128;54627878;54629903;54631448;54631680;54632432;54632647;54634738	54619177;54621835;54622013;54625322;54625973;54626939;54627297;54628035;54629992;54631575;54631752;54632560;54632745;54635150	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2183	0	0
CNOT3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54641436;54646665;54646855;54647178;54647396;54647742;54647973;54649334;54649646;54650337;54651883;54652355;54653295;54655963;54656165;54656604;54657452;54659047	54641709;54646739;54646922;54647252;54647485;54647870;54648068;54649553;54649779;54650393;54652270;54652478;54653493;54656062;54656363;54656736;54657577;54659446	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2887	0	0
LENG1	chr19;chr19;chr19;chr19	54659379;54660501;54662020;54663302	54659678;54660763;54662199;54663446	-;-;-;-	888	0	0
TMC4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54663834;54663834;54664204;54664204;54664615;54664615;54664867;54664867;54665838;54665838;54666406;54666406;54666766;54666766;54667456;54667456;54668168;54668168;54669153;54669153;54671897;54671897;54672174;54672174;54673250;54673250;54675639;54675639;54676734;54676734	54664111;54664111;54664282;54664282;54664770;54664770;54664997;54664997;54666021;54666021;54666503;54666503;54666892;54666892;54667619;54667619;54668335;54668335;54669300;54669300;54672018;54672018;54672406;54672406;54673398;54673398;54675870;54675852;54676944;54676944	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2480	0	0
MBOAT7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54677106;54677106;54677106;54682040;54682482;54682482;54682482;54684490;54684490;54684490;54684490;54687404;54687404;54687404;54687404;54691043;54691043;54692071;54692071;54692071;54692071;54692287;54692287;54692287;54693189;54693189;54693189;54693189	54678125;54678125;54678125;54682658;54682658;54682658;54682658;54684850;54684850;54684850;54684850;54687563;54687563;54687563;54687563;54691169;54691169;54692200;54692200;54692200;54692200;54692365;54692365;54692365;54693733;54693733;54693733;54693733	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3041	0	0
TSEN34	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54694119;54695104;54695212;54695572;54695572;54695967;54695967;54697030;54697030	54694301;54695458;54695458;54695815;54695815;54696224;54696224;54698394;54698394	+;+;+;+;+;+;+;+;+	2405	0	0
RPS9	chr19;chr19;chr19;chr19;chr19	54704726;54705028;54705355;54710144;54711266	54704756;54705149;54705477;54710330;54711515	+;+;+;+;+	713	0	0
LILRB3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54720147;54720147;54721188;54721188;54722230;54722230;54722514;54722514;54722632;54722632;54722998;54722998;54724025;54724025;54724398;54724398;54724955;54724955;54725700;54725700;54726150;54726150;54726619;54726619;54726815;54726815	54721108;54721108;54721343;54721346;54722282;54722282;54722551;54722551;54722707;54722707;54723114;54723114;54724075;54724075;54724700;54724700;54725251;54725251;54726002;54726002;54726434;54726434;54726654;54726654;54726959;54726959	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2825	0	0
LILRA6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54740469;54743777;54744150;54744707;54745452;54745902;54746371;54746567	54742965;54743827;54744452;54745003;54745754;54746186;54746406;54746724	-;-;-;-;-;-;-;-	3930	0	0
LILRB5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54754270;54754270;54754270;54755917;54755917;54755917;54756229;54756229;54756229;54756349;54756349;54756349;54756734;54756734;54756734;54757881;54757881;54757881;54758228;54758228;54758228;54758598;54758598;54758598;54759149;54759149;54759149;54759906;54759906;54760352;54760352;54760352;54760824;54760824;54760824;54761023;54761023;54761023	54754796;54754796;54754796;54755969;54755969;54755969;54756266;54756266;54756266;54756412;54756412;54756412;54756850;54756850;54756850;54757931;54757928;54757931;54758278;54758278;54758278;54758900;54758900;54758900;54759445;54759445;54759445;54760205;54760205;54760636;54760636;54760636;54760859;54760859;54760859;54761167;54761167;54761167	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2267	0	0
LILRB2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54777675;54777675;54779805;54779805;54780118;54780118;54780235;54780235;54780661;54780661;54781404;54781404;54781743;54781743;54782114;54782114;54782667;54782667;54783200;54783200;54783646;54783646;54784119;54784119;54784318;54784318;54784816;54784816	54778683;54778683;54779857;54779857;54780155;54780155;54780310;54780310;54780783;54780783;54781454;54781451;54781793;54781793;54782416;54782416;54782963;54782963;54783502;54783502;54783930;54783930;54784154;54784154;54784399;54784399;54785033;54785033	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2925	0	0
MIR4752	chr19	54785964	54786035	+	72	0	0
LILRA3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54799855;54799855;54801927;54801927;54802483;54802483;54803016;54803208;54803466;54803466;54803943;54803943;54804140;54804140	54800104;54800104;54802229;54802229;54802779;54802779;54803318;54803318;54803753;54803753;54803978;54803978;54804265;54804221	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1603	0	0
LILRA5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54818353;54818353;54818983;54818983;54822435;54822435;54822684;54822684;54823134;54823134;54823134;54823134;54823605;54823605;54823807;54823807;54823807;54823807;54824287;54824287;54824287;54824287	54818834;54818834;54819033;54819033;54822986;54822986;54822986;54822986;54823418;54823418;54823418;54823418;54823640;54823640;54823891;54823891;54823891;54823891;54824409;54824409;54824409;54824409	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1614	0	0
LILRA4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54844692;54845186;54848112;54848671;54849207;54849667;54850137;54850331	54845036;54845236;54848414;54848967;54849506;54849951;54850172;54850421	-;-;-;-;-;-;-;-	1708	0	0
LAIR1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54865235;54865235;54867563;54867563;54867839;54867839;54867965;54867965;54868100;54868100;54868537;54868537;54871629;54872523;54872523;54875902;54875902;54876378;54876378	54867023;54867023;54867615;54867615;54867876;54867876;54868007;54868007;54868228;54868228;54868575;54868575;54871679;54872816;54872816;54875937;54875937;54876721;54876721	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2816	0	0
TTYH1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54926605;54926605;54926605;54930302;54930302;54930302;54932451;54932451;54932451;54933364;54933364;54933364;54937850;54937850;54937850;54940485;54940485;54940485;54941060;54941060;54941060;54941728;54941728;54941728;54941991;54941991;54941991;54942277;54942277;54942277;54946722;54946722;54946722;54947008;54947008;54947268;54947271;54947271;54947513;54947513;54947513	54926852;54926852;54926852;54930480;54930480;54930480;54932562;54932562;54932562;54933584;54933584;54933584;54937945;54937945;54937945;54940557;54940557;54940557;54941135;54941135;54941135;54941783;54941783;54941783;54942083;54942083;54942083;54942369;54942369;54942369;54946864;54946864;54946864;54947053;54947053;54947351;54947351;54947351;54947899;54947899;54947899	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1907	0	0
LENG8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	54960065;54962467;54963270;54963830;54964725;54965609;54966130;54966543;54967146;54967504;54967815;54968926;54969113;54969282;54969493;54971946	54960488;54962559;54963444;54963931;54964835;54965861;54966271;54966746;54967424;54967644;54968100;54969027;54969181;54969411;54969700;54973196	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3970	0	0
LENG9	chr19	54972979	54974894	-	1916	0	0
CDC42EP5	chr19;chr19;chr19	54976210;54982766;54984211	54976731;54982906;54984422	-;-;-	875	0	0
LAIR2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55014013;55014013;55014916;55014916;55019106;55019106;55020245;55021736;55021736	55014168;55014168;55014951;55014951;55019399;55019399;55020295;55021900;55021900	+;+;+;+;+;+;+;+;+	702	0	0
KIR3DX1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55043909;55044262;55044951;55046805;55048089;55049184;55053732;55054585;55054746	55044048;55044297;55045229;55047110;55048381;55049234;55053854;55054637;55055195	+;+;+;+;+;+;+;+;+	1731	0	0
LILRA2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55085257;55085257;55085543;55085543;55085768;55085768;55086198;55086198;55086723;55086723;55087274;55087274;55098477;55098668;55098668	55085379;55085379;55085578;55085578;55086049;55086049;55086500;55086500;55087019;55087019;55087576;55087576;55098527;55099027;55099027	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1755	0	0
LILRA1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55105113;55105662;55105906;55106130;55106565;55107104;55107654;55110701;55111977;55112164	55105246;55105743;55105941;55106417;55106867;55107400;55107956;55110751;55112015;55112540	+;+;+;+;+;+;+;+;+;+	1910	0	0
LILRB1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55128629;55141908;55141908;55141968;55141968;55142477;55142477;55142477;55142477;55142722;55142722;55142722;55142722;55142951;55142951;55142951;55142951;55143386;55143386;55143386;55143386;55143915;55143915;55143915;55143915;55144467;55144467;55144467;55144467;55145089;55145089;55145089;55145089;55145422;55145422;55145425;55145425;55146092;55146092;55146092;55146092;55146555;55146555;55146555;55146555;55146710;55146710;55146710;55146710;55147008;55147008;55147008;55147008;55147945;55147945;55147948;55147948;55148183;55148183;55148183;55148183	55128803;55142084;55142084;55142084;55142084;55142558;55142558;55142558;55142558;55142757;55142757;55142757;55142757;55143238;55143238;55143238;55143238;55143688;55143688;55143688;55143688;55144211;55144211;55144211;55144211;55144769;55144769;55144769;55144769;55145139;55145139;55145139;55145139;55145472;55145472;55145472;55145472;55146214;55146214;55146214;55146214;55146630;55146630;55146630;55146630;55146747;55146747;55146747;55146747;55147060;55147060;55147060;55147060;55148103;55148103;55148103;55148103;55149004;55149004;55149004;55149004	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3034	0	0
LILRB4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55174124;55174124;55174990;55174990;55175212;55175212;55175637;55175637;55176250;55176250;55176581;55176581;55177266;55177266;55177691;55177691;55177850;55177850;55178148;55178148;55179086;55179089;55179324;55179324	55174519;55174519;55175025;55175025;55175496;55175496;55175936;55175936;55176300;55176300;55176631;55176631;55177382;55177382;55177766;55177766;55177887;55177887;55178200;55178200;55179244;55179244;55179846;55179846	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2085	0	0
LILRP2	chr19	55219601	55224887	+	5287	0	0
KIR3DL3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55235984;55236713;55237519;55239077;55240959;55246720;55247287;55247438	55236035;55236748;55237803;55239376;55241252;55246824;55247339;55248003	+;+;+;+;+;+;+;+	1691	0	0
KIR2DL3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55249974;55250953;55253426;55255243;55258787;55263101;55263668;55263819	55250044;55250988;55253725;55255536;55258837;55263205;55263720;55264504	+;+;+;+;+;+;+;+	1596	0	0
KIR2DL1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55281265;55282301;55284785;55286617;55290064;55294374;55294938;55295089	55281336;55282336;55285084;55286910;55290114;55294475;55294990;55295778	+;+;+;+;+;+;+;+	1598	0	0
KIR2DL4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55315067;55315067;55315067;55315346;55315346;55315346;55316248;55316248;55316248;55317406;55317406;55317406;55320288;55320288;55320288;55324580;55324580;55325145;55325145;55325145;55325297;55325297;55325297	55315146;55315146;55315146;55315381;55315381;55315381;55316532;55316532;55316532;55317699;55317699;55317699;55320338;55320338;55320338;55324683;55324683;55325197;55325197;55325197;55325972;55325972;55325972	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1579	0	0
KIR3DL1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55327893;55328989;55329770;55331168;55333020;55336483;55340816;55341383;55341554	55327989;55329024;55330054;55331467;55333313;55336533;55340920;55341435;55342233	+;+;+;+;+;+;+;+;+	1901	0	0
KIR2DS4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55344174;55346534;55349031;55350883;55354323;55358639;55359206;55359357	55344253;55346569;55349330;55351154;55354373;55358743;55359258;55360023	+;+;+;+;+;+;+;+	1564	0	0
KIR3DL2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55361898;55361898;55362675;55362675;55363453;55363453;55365202;55365202;55367074;55367074;55370534;55377260;55377260;55377825;55377825;55377977;55377977	55361964;55361964;55362710;55362710;55363737;55363737;55365501;55365501;55367367;55367367;55370584;55377364;55377364;55377877;55377877;55378670;55378670	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1885	0	0
FCAR	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55385549;55385549;55385549;55385549;55385549;55385549;55385549;55385549;55385549;55386786;55386786;55386786;55386786;55396647;55396647;55396647;55396647;55396647;55396647;55396647;55396647;55399374;55399374;55399374;55399374;55399374;55399374;55399374;55401015;55401015;55401015;55401015;55401015;55401015;55401015;55401015	55385779;55385779;55385779;55385779;55385779;55385779;55385779;55385779;55385779;55386821;55386821;55386821;55386821;55396937;55396937;55396937;55396937;55396937;55396937;55396937;55396937;55400439;55399587;55399595;55399661;55399595;55399661;55399661;55401839;55401839;55401839;55401839;55401839;55401839;55401839;55401839	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2449	0	0
NCR1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55417508;55417508;55417508;55417508;55417508;55417657;55417657;55417657;55417657;55417657;55417881;55417881;55417881;55420604;55420604;55420604;55420604;55420604;55421378;55421378;55421378;55421378;55421378;55423536;55423536;55423539;55424058;55424058;55424058;55424058;55424058	55417579;55417579;55417579;55417579;55417579;55417692;55417692;55417692;55417692;55417692;55418165;55418165;55418165;55420882;55420882;55420882;55420882;55420882;55421425;55421425;55421425;55421425;55421425;55423586;55423586;55423586;55424439;55424439;55424439;55424439;55424439	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1153	0	0
NLRP7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55434877;55434877;55434877;55438973;55438973;55441867;55441867;55441867;55444937;55444937;55444937;55445857;55445857;55445857;55447629;55447629;55447629;55449412;55449412;55449412;55450256;55450256;55450256;55452299;55452299;55452299;55452803;55452803;55452803;55458837;55458837;55458837	55435240;55435240;55435240;55439143;55439143;55442034;55442034;55442034;55445107;55445107;55445107;55446027;55446027;55446027;55447799;55447799;55447799;55449525;55449609;55449609;55451834;55451834;55451834;55452373;55452373;55452373;55453118;55453118;55453118;55458873;55458873;55458873	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3421	0	0
NLRP2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55476652;55477711;55477711;55477711;55481367;55481367;55481367;55481367;55481591;55485868;55485868;55485868;55485868;55489120;55489120;55489120;55489120;55492985;55492985;55492985;55493530;55493530;55493530;55493530;55496415;55496415;55496415;55496415;55497519;55497519;55497519;55497519;55501390;55501390;55501390;55501390;55501870;55501870;55501870;55501870;55505637;55505637;55505637;55505637;55508685;55508685;55508685;55508685;55512128;55512128;55512128;55512128	55476745;55477835;55477835;55477835;55481521;55481663;55481663;55481663;55481663;55485912;55485912;55485912;55485912;55489191;55489191;55489191;55489191;55493050;55493050;55493050;55495096;55495096;55495096;55495096;55496585;55496585;55496585;55496585;55497683;55497683;55497683;55497683;55501560;55501560;55501560;55501560;55502040;55502040;55502040;55502040;55505807;55505807;55505807;55505807;55508855;55508855;55508855;55508855;55512510;55512510;55512510;55512510	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3669	0	0
GP6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	55525075;55525075;55525075;55527047;55527051;55527051;55530020;55530020;55530020;55536586;55536586;55538946;55538946;55538946;55543507;55543507;55543507;55543874;55543874;55543874;55549571;55549571;55549571	55526533;55526533;55526533;55527101;55527101;55527101;55530079;55530079;55530079;55536639;55536639;55539230;55539230;55539230;55543764;55543764;55543764;55543906;55543906;55543906;55549632;55549632;55549632	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2266	0	0
